start	end	text
0	18000	The name of that was very generic, Decompositions and Distances of Modules over RN.
18000	28000	Let me just, okay, space, always visible, where to go.
28000	33000	And that one probably be a bit bigger scale just because I mentioned like the final, the lifetime stuff.
33000	35000	This was mainly building on top of what?
35000	38000	Yeah, sorry, I'm just fiddling with Zoom, just a second.
38000	42000	Let me get back to my, I'm fiddling in the sense of I have to make your pictures stay up there
42000	46000	so that it doesn't disappear when I go to some other window.
46000	61000	Okay, let's see.
61000	65000	So I have to look at crude report maybe, is that the one?
65000	66000	Decomposition?
66000	67000	Probably.
67000	68000	Yes.
68000	70000	Yeah.
70000	75000	For the draft you think it should be a bit more detailed than that maybe?
75000	77000	A bit more detailed than this?
77000	83000	And I think that what we should have is sort of, the draft should contain, oh I like this actually, this is good,
83000	90000	but it should have, it's okay for it to have this stuff too actually, but I think that that should,
90000	94000	in the end I think that this stuff with the matching is going to be a second paper.
94000	99000	Yeah, yeah, I just mean like in terms of level of detail, just a bit more than this maybe.
99000	107000	Level of detail, I think we should try to include, try to include what's going to be in there eventually,
107000	113000	so have it be a formal definition of lifetime, formal definition of lifetime displacement,
113000	118000	formal definitions, potential definitions of lifetime distances that you can symmetrize,
118000	122000	you can take the max, whatever it happens to be, right?
122000	130000	Yeah, it's just sort of something so that people can get their hands on what lifetimes are and what lifetime displacement is.
130000	131000	Okay.
131000	134000	So that we can just hand it out to people and say, here's what we mean.
134000	142000	The reason why at least one of them wants this is because Herbert Adelsbrunner has a student who is going to decide
142000	149000	what to write her thesis on and it might be on related stuff and she wants to know what this lifetime stuff is all about.
149000	150000	Okay, sure.
150000	152000	So this is good news for us in some sense, right?
152000	156000	This means that people really want to know this and that this is good.
156000	162000	Yeah, and then also like motivations are we're thinking about this, obviously have the main results in there as well.
162000	164000	Right, yes, that's right.
164000	170000	So have whatever main results you think belong in there and, you know, something that doesn't have to be in final form,
170000	175000	it just has to be sort of presentable so that someone who wants to know what these things are
175000	180000	can actually look at the definitions for real and not just look at my slides, which have hopeless little detail.
180000	184000	They have nice pictures, but not such great detail.
184000	186000	Sure, okay.
186000	189000	Yeah, as soon as you can.
189000	195000	So, you know, I'm hoping that doesn't take more than, you know, a couple of weeks to...
195000	197000	Yeah, that's what I was thinking, a couple of weeks.
198000	200000	Great, a couple of weeks is...
200000	203000	Because I evaluated in my mind how long I think it...
203000	209000	And I said, Herbert, I told Herbert that probably once we talk about it within a couple of weeks, it'll be doable.
209000	210000	Yeah.
210000	213000	Herbert Edelsbrunner?
213000	214000	Edelsbrunner, yes.
214000	217000	The man, the myth, the legend himself.
217000	218000	Well, he used to work at Duke, you know.
218000	221000	Yeah, I'm aware.
221000	224000	Yeah, I'm not sure that he was ever here when I was.
224000	228000	I think I might have, like, maybe overlapped with him for a year or something like that,
228000	230000	because I didn't really know the area at that point.
230000	236000	But yeah, now I talk to him all the time at conferences and these things, and we communicate regularly.
236000	239000	Yeah, he's a good guy.
239000	241000	He hates algebra, actually.
241000	247000	I'm aware, when I was originally learning topological data analysis,
247000	254000	I read one of his papers on the Wasserstein distance being stable.
254000	258000	And you could definitely tell that he was skirting the algebra very much.
258000	264000	He was coming up with his own terminology and, like, really, really not going into the algebra there.
264000	269000	Yeah, I mean, the fact is, he thinks that he's not good at algebra.
269000	275000	And I think that what this means in the end is that the level of abstraction that he's willing to deal with
275000	278000	has a definite upper limit.
278000	283000	But, you know, what this means is that, you know, lifetime filtration?
283000	286000	You know, really, he doesn't want to do lifetime filtration.
286000	289000	But a student might want to do something related to this kind of algebra.
289000	292000	And so it should come from us, that kind of thing, yeah?
292000	294000	Yeah.
294000	311000	Okay, so what was going to be the, what's the sort of proposed content of this meeting here?
311000	313000	Yeah, so there's that.
313000	315000	I've been, like, rereading Jassy's paper, basically.
315000	319000	Like, taking notes on what I need to, what should be changed.
319000	323000	Like, there's some notation stuff we've agreed on that's different.
323000	328000	Yeah, the bracelet of brackets.
328000	337000	We should also, at some point, decide on, like, notation and nomenclature for, like, the shifts, slides, and rug pulls.
337000	340000	But I think that can be down the line.
340000	342000	Yes, that's a really good point.
342000	343000	We should decide on notations for that.
343000	344000	Yeah, we should decide on that.
344000	345000	Yeah.
345000	347000	Eric, do you know what those things mean?
347000	350000	Can you repeat that, sorry?
350000	352000	Shifts, slides, and rug pulls.
352000	354000	Rug pulls? Is that an actual thing?
354000	356000	I have not come across rug pulls.
356000	358000	We're going to make it into something.
358000	359000	Go ahead.
359000	360000	Yeah.
360000	364000	The first thing is, Eric, do you know these two notations here?
364000	365000	Sure.
365000	369000	K adjoin S and K braces.
369000	370000	Squiggly.
370000	372000	Yeah, squiggly.
372000	373000	Remind me of the braces.
373000	381000	So I was going to tell you this, Eric, it's part of my, so I wrote up notes in, like, you know, sort of on iPad.
381000	384000	I actually wrote up notes on the airplane to send you.
384000	392000	And one of them is that for indicator modules, we should write it as K squiggly bracket instead of K square bracket.
392000	394000	Okay, I was using K square bracket.
394000	400000	And I also completely took the entire blame for that because in my homological algebra paper, I used the wrong notation.
400000	404000	I really should have used squiggly brackets, and I didn't, and that was my fault, and it's wrong.
404000	406000	Okay, all right.
406000	410000	Yeah, I am using your homological algebra paper as a baseline for everything else.
410000	414000	Even right now, actually, what I'm going to do is I'm just going to get here.
414000	418000	I'm going to get to my notes, and I'm just going to send you the email now that has these notes.
418000	419000	Okay.
419000	420000	Keep talking, Ricardo.
420000	424000	Tell them about shift slides and rope pulls because I remember that conversation.
424000	425000	It was really handy.
425000	431000	Yeah, and I actually, I don't quite remember which is which, so I'm going to need to look up my notes for that as well.
431000	437000	Good, because I don't remember which is which either, but we had sort of good reasoning when we did that.
437000	438000	We did have good reasoning.
438000	441000	And so if you have it in your notes, that's great.
441000	446000	I should have it somewhere in a staff document.
446000	451000	But for the time being, you can just tell them what the three of them are, and then we'll figure out.
451000	452000	Yeah, anyway.
452000	453000	Yeah.
453000	454000	Is it here?
454000	456000	It's in the notes for Eric.
462000	463000	Oh, the very first slide, right?
463000	464000	Okay, squiggly bracket here.
464000	465000	There you go.
465000	466000	I found it.
466000	467000	I found it.
467000	468000	Okay.
468000	473000	So the current notations for each one, I'm going to put them in the.
473000	476000	You can share screen with them.
476000	479000	Or you can also share your screen.
479000	480000	It's up to you.
480000	481000	It's very brief.
481000	484000	I think I'll just do it here.
484000	489000	Kind of like this.
489000	490000	Okay.
490000	494000	So the first one is what I'm calling a slide.
494000	495000	These are the current notations.
495000	496000	Their subject should change.
496000	499000	The first one is what I'm calling a slide.
499000	503000	This is just the one where you.
503000	505000	So you map the vector V by.
505000	509000	Let's assume it's like homogeneous and you can extend by linearity.
509000	511000	Homogeneous.
511000	513000	Yes, that is correct.
513000	516000	Let's assume it's homogeneous and degree.
516000	522000	And then you just move it by like the structure map epsilon.
522000	523000	So the one that just.
523000	525000	Epsilon is like a vector, I guess.
525000	527000	You have to start off with what's what.
527000	531000	So V is a what and epsilon is a what.
531000	533000	Epsilon is a vector.
533000	535000	You should think of it as usually one, one, one, one, one, one.
535000	538000	But it can be any vector that you're going to shift.
538000	540000	Think of it as an arrow.
540000	541000	Okay.
541000	544000	Yeah.
544000	549000	Q plus meaning like the positive cone.
550000	552000	Okay.
552000	554000	It can be anywhere.
554000	557000	Q here is a partially ordered group.
557000	562000	Well, Q is a partially ordered group and then Q plus the positive.
562000	563000	Q.
563000	564000	Oh, okay.
564000	567000	I'm telling Eric because Eric is used to working with Q being a poset.
567000	570000	When we're saying here is that here we're working over a.
570000	576000	In the most generality, it could be like a it could be like a poset with a shift function or something like that.
576000	578000	And then epsilon is going to be the shift.
578000	582000	But for simplicity, let's just talk about Q being a partially ordered group.
582000	586000	And epsilon is an element in Q plus.
586000	588000	Okay.
588000	589000	Yeah.
589000	592000	So think of it as our end with one, one, one, one, one, one.
592000	593000	Yeah.
593000	597000	Anything in the positive or center part and, for example, would work.
597000	602000	Or actually the non-negative or.
602000	605000	The closed possible.
605000	606000	So, yeah.
606000	609000	So the first one here, you just take V.
609000	613000	So there's going to be you can think about it like being at a specific point.
613000	621000	And then they're like, if you just move here by epsilon, since it's going to be higher, then there's going to be a structure map there.
621000	623000	You just map it by that structure map.
623000	626000	So this is what we're calling a slide.
626000	627000	Okay.
627000	628000	Ah, okay.
628000	631000	I want to be clear what homogeneous vector means.
631000	632000	Yeah.
632000	637000	Our homogeneous vector means an element in ma for some a.
637000	638000	Oh, okay.
638000	639000	All right.
639000	645000	I was thinking sort of like in the coordinate in what's called projective coordinates, but that's not.
645000	646000	Yeah.
646000	647000	Yeah.
647000	648000	Yeah.
648000	649000	Yeah.
649000	650000	Yeah.
650000	651000	It just means an element in some graded piece of some graded module.
651000	652000	Okay.
652000	653000	Some Q graded module.
653000	654000	Yeah.
654000	655000	Yeah.
655000	658000	So it's basically it's only supported on one on one degree.
658000	660000	It's not supported on various degrees.
660000	665000	But you can extend this to be arbitrarily wherever you want by just white linearity.
665000	666000	So this is an important.
666000	669000	It's a class for some fixed parameter.
669000	671000	It's a homology class over some fixed parameter.
671000	673000	Yes.
673000	678000	Then there is the syntax with brackets.
678000	681000	That one's a bit more complicated to explain.
681000	694000	Basically, you can imagine taking the entire the entire like module and then you just like move it back.
694000	696000	Is that it?
696000	698000	I forgot to move it back or forward.
698000	699000	Yeah.
699000	702000	So in the usual notation, this would be M bracket epsilon.
702000	707000	So what it does is that if you take a module M back, take a module M.
707000	708000	Yeah.
709000	711000	How do you write the epsilon?
711000	714000	I have.
714000	717000	I can switch my keyboard to Greek if I want.
717000	719000	Oh, interesting.
719000	722000	I'm going to have to do it.
722000	727000	I'm going to do it by literally using my mouse to copy your epsilon and paste it into mine.
727000	729000	Yep.
729000	730000	Yeah, that worked.
730000	731000	That worked.
731000	736000	So M epsilon sub A equals.
736000	738000	Oh, boy.
738000	741000	M sub.
741000	747000	And then it's going to be epsilon plus A.
747000	750000	Yes.
750000	751000	Oh, OK.
751000	752000	OK.
752000	753000	OK.
753000	754000	That's interesting.
754000	756000	That's a shift and it shifts by the way downwards.
756000	757000	Your point of view looks like this.
757000	758000	Yes.
758000	763000	So if epsilon is this vector one, one, one, one, one, then it shifts it backwards by one, one, one, one, one, one.
763000	772000	And you can see that even though there's no there's no minus signs in there, this shift means that if you ask in.
772000	774000	You have to read that that really, really carefully.
774000	775000	Right.
775000	781000	So M sub M shifted by epsilon of A is M sub epsilon plus A, which means that it's up here.
781000	784000	So the original module M is this thing.
784000	785000	Right.
785000	787000	The module M, it's this degree.
787000	791000	So when you when you take when you when you take.
791000	793000	So but that's supposed to be M.
793000	797000	So this epsilon plus A sits up here, but it's supposed to be in degree A.
797000	799000	So it's moved back by anyway.
799000	800000	You have to figure it out.
800000	802000	It's really irritating.
802000	809000	No, but I think now that I see the the squiggly version of the expression, because I have a pretty good grasp of anyway.
809000	811000	Yeah.
811000	813000	And squiggly.
813000	814000	So I want to be clear.
814000	817000	The squiggly brackets there are really just to say it's tech notation.
817000	818000	Yeah.
818000	821000	Because I have to say the entire epsilon plus A is in the subscript.
821000	822000	Yeah, yeah, yeah.
822000	823000	That's what I meant. That's what I meant.
823000	826000	It's I sort of can.
826000	828000	Yeah, I can.
828000	829000	I can see it.
829000	830000	I can see it somewhat.
830000	836000	And so just to be clear, when I in the second example, the bracket epsilon, if I have like,
836000	842000	let's say an abstract module like this, with like V being here, and then I shift it by epsilon out here, V shifts along with it.
842000	846000	So that's position is consistent relative like the lower edge.
846000	847000	Okay.
847000	849000	Doesn't move relative to the lower edge.
849000	850000	So V of epsilon.
850000	857000	So V of epsilon is the vector V that was in degree A and is now in degree A minus epsilon.
857000	858000	Yeah.
858000	859000	So it's basically the same thing.
859000	860000	It's just moving it around.
860000	863000	This is just from how interleapings are defined.
863000	869000	I think we can actually remove this entirely if we just allow maps with nonzero degree.
869000	871000	But the current literature doesn't do that.
871000	872000	So.
872000	873000	Oh, yeah.
873000	875000	Commutative algebra literature does it all the time.
875000	876000	Yeah.
876000	879000	The TDA literature does it from my understanding.
879000	881000	The TDA literature does not.
881000	883000	We need to convince them to allow us to do it.
883000	885000	Because honestly, the right way to do it.
885000	891000	This confusion is pretty much completely gone as soon as we allow that.
891000	892000	Yes, I know.
892000	894000	We only need one of it and then everything else.
894000	895000	Yes.
895000	902000	For what it's worth, the first example is a degree epsilon homomorphism or endomorphism.
902000	904000	Right.
904000	907000	And then the third case.
907000	913000	Ricardo, you should write up for this paper on lifetime modules.
913000	916000	It should be in your thesis somehow, but it should be in this paper.
916000	920000	We should introduce people to inhomogeneous homomorphisms.
920000	924000	And the module of all graded shifts of all homomorphisms.
924000	930000	So that we can start using this in the multi-persistence literature.
930000	931000	It needs to be there.
931000	933000	They are all over the place.
933000	938000	For any multi-persistence person who wants to read the algebra literature, they need to know what this is.
938000	941000	And so this seems as good a place as any to introduce it.
941000	944000	I use it all the time in my papers.
944000	950000	No one likes reading my papers because they find the algebra too opaque.
950000	953000	Which is so weird because it's so concrete.
953000	956000	But they're not used to certain notions like this one.
956000	959000	I like the algebra.
959000	961000	Yeah, good. Good, good, good.
961000	968000	So Jan Jandriziak, by the way, is one of these people who has his foot in both worlds and he totally gets the algebra.
968000	970000	It's so awesome talking to him. He's great.
970000	974000	You've said the same about Bjorkovic, right?
974000	978000	Yes. Yes. Bjorkovic knows his stuff.
978000	981000	Yeah.
981000	989000	I think Bjorkovic's take on algebra these days is this take on sort of multi-persistence algebra is the most nuanced,
989000	997000	sort of promising approach of anyone that I've seen from TVA.
997000	1007000	I think he really gets the algebra. He understands what's trying to happen.
1007000	1015000	Yeah, so just the third notation there, the V parentheses epsilon as opposed to V brackets epsilon.
1015000	1018000	I have the definition in terms of the other two written there.
1018000	1024000	Well, basically, if you think again about the upset here with the vector here.
1024000	1027000	Let me think about this.
1027000	1031000	So you do this and then you slide it off. I think it's the same as if you slide it.
1031000	1034000	It's going to be the same the way they commute.
1034000	1039000	So basically, you're keeping this one fixed.
1039000	1041000	Let me say this in a language that Eric might get at.
1041000	1046000	So remember, if you have an element in a module and this element has degree A, right?
1046000	1049000	You can you can shift it up.
1049000	1054000	So you can multiply by X to the epsilon. What does that do?
1054000	1056000	It moves it up by epsilon. Yes.
1056000	1058000	So now you have a different element to the module.
1058000	1064000	It's an element now that sits in the same module, but it's moved up by degree by epsilon.
1064000	1071000	And now it's the image of this element after you've literally moved it up by the by the structure morphism that goes from here to there.
1072000	1074000	OK. Yeah.
1074000	1078000	Yeah. The problem is that in persistence, you might want to do that,
1078000	1082000	but you might want the results to sit in the same degree that you started it.
1082000	1084000	Oh, OK. Yes.
1084000	1086000	So how do you do that?
1086000	1092000	One way is to multiply it by X to the epsilon and then shift it back by epsilon.
1092000	1098000	Yeah. Another way is to shift it back by epsilon and then multiply it by epsilon.
1099000	1106000	So the rug pull is the one where you where you essentially you start with your element here, right?
1106000	1109000	You want it to land in this degree in this element, but back here.
1109000	1113000	Yes. The rug pull. I can see it. It's amazing.
1113000	1115000	I love it. It's amazing.
1115000	1119000	Yeah. What a name. What an absolute name.
1119000	1125000	Yeah. These are the names are in order of slide shift and you came up with this card.
1126000	1129000	I think shift is standard.
1129000	1131000	No, rug pull. I did not see rug pull.
1131000	1134000	It was in conversation and I don't remember which of us came up with it.
1134000	1136000	Yeah, I forgot.
1136000	1138000	It was during a meeting with Gart. Yes, that's right.
1138000	1144000	It was during one of our meetings and and and in the end we had this term and it's so the right term.
1148000	1152000	Yeah, that's pretty good because you're like you're basically you're just sliding out of the way,
1152000	1154000	but you're keeping it in the same place.
1154000	1160000	Yeah, the only thing it brings to mind is that magic trick where you have the whole set table.
1160000	1162000	Yeah, you pull the tablecloth out from under it.
1162000	1164000	Yeah. Yeah.
1166000	1175000	But the thing is that if we remove like the only reason we need this stuff is for it's for interleaving from what I can tell.
1176000	1178000	Something like that, yes.
1178000	1185000	And if we use like degree epsilon morphisms instead of requiring everything to be degree zero, then all we need is slides.
1185000	1187000	We no longer need shifts or rug pulls.
1187000	1189000	Yeah, that's right.
1189000	1193000	But it's nice to describe things in terms of shifts and rug pulls.
1194000	1205000	I mean, the shift is basically equivalent to just like the like you use a shift basis to emulate nonzero degree.
1205000	1207000	Yes, that's right.
1207000	1215000	In fact, exactly the definition of a nonzero degree homomorphism is a morphism of degree zero from N to a shift of N.
1215000	1217000	Oh, okay.
1217000	1220000	That's how commutative algebra, that's how it's defined.
1220000	1222000	Oh, okay.
1222000	1224000	That makes complete sense, yeah.
1224000	1233000	Well, you can also define it more sort of parochially, I suppose, by just saying that it's a homomorphism such that it takes an element of degree A to an element of degree A plus epsilon.
1233000	1235000	Yeah, that's what I was thinking.
1235000	1240000	But I also define it to be a homomorphism of degree zero from N to N shifted by epsilon.
1240000	1242000	Yes, expanding definitions, yes.
1242000	1244000	Right.
1245000	1248000	Okay, so that's the notation.
1248000	1250000	Maybe we should change it, especially the notation.
1250000	1253000	I'm not too happy with the rug pull one because it's quite similar to shift one.
1253000	1256000	But maybe that's just something you have to live with.
1256000	1261000	There's also an argument for not having that at all and just writing out the full expression every time, but that seems.
1261000	1267000	Yes, and it's going to be, I will leave it up to you for the moment because you're going to try to write things down.
1267000	1272000	And when you do, you'll figure out which notations are becoming really irritating.
1272000	1273000	Sure.
1273000	1274000	Okay.
1274000	1277000	Yeah, it's one of those things you just try it and see what happens.
1277000	1281000	And, you know, if it's not working for you, then go, you know, this is just annoying.
1281000	1283000	It's the same thing with the minus sign.
1283000	1287000	There should be a minus, you know, M shifted by epsilon should be M shifted by epsilon.
1287000	1289000	But it's not, it's M shifted back by epsilon.
1289000	1291000	That's because it's a minus sign.
1291000	1294000	And you can choose what to do with the minus sign, where to put it.
1294000	1297000	And sometimes it's annoying and sometimes it's not.
1297000	1302000	I don't think, I think that one would just like have to keep with what other people are doing and just like deal with the sign.
1302000	1303000	It makes like...
1303000	1306000	There's no question that this is the definition of M shifted by epsilon.
1306000	1311000	The question is whether we want to routinely think of M shifted by minus epsilon or not.
1311000	1312000	Oh, all right.
1312000	1314000	Because the answer is not.
1315000	1319000	I think it like, it makes sense to just define it in a way that it admits that.
1319000	1322000	But I think in practice that never shows up.
1322000	1324000	Okay.
1327000	1330000	Yeah, so that's the, that's the notation stuff.
1332000	1334000	Oh, right.
1334000	1336000	Eric introduced me.
1336000	1339000	Actually, last night, like, I saw your email.
1339000	1340000	I was getting dinner.
1340000	1346000	And then right as I'm leaving, coming back from my room, then I see Eric and then we talk about it.
1346000	1352000	And that's, that's why I, that's why I told you to like ask him if you wanted to show off.
1352000	1361000	But the, one of the things that we talked about then is one of the ways we want to sort of salvage the things with lifetime.
1362000	1374000	Stuff is by looking into how the, how the like the act, it actually works in practice.
1374000	1378000	So that how like people are actually using this stuff for real data sets.
1378000	1382000	And then let's see the exact wording here.
1382000	1388000	Formulates conditions under which the screening variants are complete when restricted to push forward measure.
1389000	1391000	Yes.
1391000	1396000	And so for that inch like understand how, how people are actually doing this stuff.
1396000	1399000	And he introduced me to this library called duty.
1399000	1400000	Oh, yeah.
1400000	1401000	Is it good?
1401000	1405000	Is it like, does it do the things you wanted it to do?
1405000	1406000	It seems like it does.
1406000	1408000	I haven't had that much time to look into it yet.
1408000	1412000	Because based on your like descriptions, I'm pretty sure it's exactly what you want.
1412000	1414000	From what I looked up, it doesn't contribute.
1414000	1417000	So that's something I need to look into to try to understand what they're doing.
1417000	1418000	And people also like multi-PERS.
1418000	1420000	I think they call it multi-PERS.
1420000	1423000	So multi-PERS is made to interface with Goody.
1423000	1426000	I think you heard about multi-PERS because of me, actually.
1426000	1428000	And the people at Nightsake.
1428000	1430000	Remember, I was just at Nightsake.
1430000	1431000	Oh, that's true.
1431000	1434000	Anyway, so multi-PERS is meant to interface with Goody as well.
1434000	1439000	There is probably overlap at some point, but I think Goody is more on the computational.
1440000	1444000	Before we encode things, before we process things.
1444000	1446000	And then multi-PERS is more for the processing.
1446000	1449000	So I think Goody is more so what you want to call it.
1449000	1451000	But you can check out multi-PERS as well.
1451000	1454000	Multi-PERS is more, I think, further along the pipeline.
1458000	1460000	Sure, I'll just write it down.
1462000	1464000	So there's that.
1465000	1472000	I've also been thinking about the other, just because I didn't have too much to think about in regards to that stuff.
1472000	1482000	I've been thinking about the other rich salvage it, which is attaching supplementary data to lifetime filtration so that it does become discriminating.
1483000	1502000	What I was thinking in that regard is that the, sort of the interesting thing for, at least in a discriminatory sense with this, is that it's when things are, like they geometrically would be a lifetime.
1502000	1506000	But algebraically, there's something that prevents them from being a lifetime.
1506000	1509000	I'm not sure what you mean by that. What do you mean?
1509000	1521000	So if we think back to the Luis example where you have the cube, right, missing the ends, do you remember the Luis kind of example?
1521000	1523000	Vaguely, yes.
