start	end	text
1523000	1530000	Yeah, so in that case, if we don't, the one that has the multiplication by alpha and multiplication by beta, right?
1530000	1531000	Right, yes.
1532000	1538000	If we don't have those, if we have everything just being the identity map, then the entire module is a lifetime module.
1538000	1541000	And then you're basically, and then that works.
1541000	1549000	But when one of the multiplication, multiplication by alpha, or by anything that's not one, then it is no longer your lifetime module.
1549000	1554000	And that, and so that means that we lose a filtration.
1554000	1558000	There's one, a filtration that would have, like geometrically should exist because there's a map there.
1558000	1562000	But I like it supported as if it were a lifetime module.
1562000	1567000	But the algebra of the map prevents it from being a lifetime module.
1567000	1573000	Oh, I see, I see. It's not lifetime because the maps are at all constant. They're not all the same.
1573000	1574000	Yeah.
1574000	1578000	It's not connected, the morphisms aren't connected or something like that.
1578000	1579000	Yeah, something like that.
1579000	1588000	And so this means that we lose some, there's basically a filtration that would exist based on geometry, but doesn't exist because of the algebra.
1588000	1597000	And I think if we want to solve it in this way, we need a way to like keep that information of like, why does this filtration that should work not work?
1597000	1600000	Provide some way of like comparing those.
1600000	1605000	I see. I see. We may also want to just, I mean, include.
1606000	1611000	Honestly, a filtration is always going to be sort of short, exact sequence.
1611000	1615000	And then we could record which element in X it is.
1615000	1619000	So which, which extension of this?
1619000	1623000	In what sense is a filtration of short, exact sequence?
1623000	1627000	Well, you have a sub module and then you have a quotient module.
1627000	1628000	Right?
1628000	1630000	Oh, right. Sure. At each point.
1630000	1633000	We're only remembering what is the sub module, what's the quotient module.
1633000	1637000	We're not remembering what's the extension.
1637000	1641000	Ah, that might be, that might be something to look into that.
1641000	1648000	Right. So like, I mean, there's a sense in which if we just remember literally what the extensions are, then we can reconstruct the entire module.
1648000	1651000	Then it's an invariant because it gives you the whole module back.
1651000	1656000	Oh, okay. Maybe there's something you can extract from the extensions.
1656000	1662000	That's what I was going to say. But when you view it that way, it's like, okay, so then what functions on X are we interested in?
1662000	1667000	Right. We can take the zero function on X and then we just don't care what the extension is.
1667000	1673000	Well, we could take, we could take more interesting invariants of the X and perhaps get more information and sort of that.
1673000	1681000	We could sort of build up a theory of how much information do you want from the X, that kind of thing.
1681000	1687000	Yeah. So those are the three things I've done basically.
1687000	1689000	Cool.
1689000	1693000	I think that's clear thinking.
1693000	1696000	Derek, do you have anything to add?
1696000	1707000	I'm not the pro here, although I find the idea interesting and I think Goody is the program that should help you with this.
1707000	1717000	Yeah, I've seen that Goody is C++ with Python bindings. Would you plan on like porting it also to like Julia binding so you can interact with it?
1717000	1721000	No, my idea would be to port my thing to Python bindings.
1721000	1722000	Oh, okay.
1722000	1730000	Julia is my backend. Julia is my C++. I am not good enough to write my thing in C++, so I did it in Julia, which is more expressive.
1730000	1733000	Sure. And then you write Python binding, like do a Python binding.
1733000	1741000	Yeah, that's my plan eventually. I haven't done this before. I know there are software that does it for you, so I need to look into that.
1741000	1746000	Yeah, I'd hope there would be just a library that like converts NumPy arrays to Julia.
1746000	1754000	Something like that. And so basically your input is in Python and then you convert it to Julia and put that in.
1754000	1761000	Your output is in Julia and then converts back to Python and then you don't touch anything in between. That would be ideal.
1761000	1767000	Sure.
1767000	1770000	I do have something to add.
1770000	1771000	What?
1771000	1778000	Unrelated to this, but my example ran successfully, so the library is working.
1778000	1783000	Oh, good. Good.
1783000	1790000	There's a sense in which I really wish, actually I really wish both of you could be in Austria for this thing.
1790000	1793000	This thing that's at the end of March.
1793000	1797000	I could be in Austria. I just need to plan ahead.
1797000	1799000	It's during classes.
1799000	1805000	Yeah, I would need to plan ahead very methodically.
1805000	1816000	I mean, I can talk with my professors and see what we're doing, but that seems like especially because then it's also when I'm possibly going to be visiting grad school as well.
1816000	1821000	I have actually heard back from one of them.
1821000	1827000	And unfortunately, so University of Wisconsin Madison, I put up here the email.
1827000	1836000	They had over 800 applicants to the program, so they just preliminarily, like early, just like denied a bunch of people.
1836000	1837000	Including you or no?
1837000	1842000	Let me tell you, the reason why they denied you is because they think you're not going to go.
1842000	1844000	That may well be it, yeah.
1844000	1850000	At UW Madison? But that's not a safety school, so to speak, right? It's quite hard to get into.
1850000	1851000	Madison?
1851000	1853000	Yeah.
1853000	1858000	I mean, they think that Ricardo is going to go someplace better.
1858000	1867000	He very well might, but OK, I shouldn't be saying this because when I applied to undergrad, NYU did that to me.
1867000	1876000	This could backfire because it could be that all the better places think, oh, not quite.
1876000	1879000	Yeah, especially with as many applicants as everyone seems to be getting now.
1879000	1883000	Well, I'm sorry to hear, Ricardo. I think you're a very high quality applicant.
1883000	1888000	Keep in mind that these places always receive that many applications. This is not news.
1888000	1889000	OK.
1889000	1890000	Sure.
1890000	1893000	But they are forced, and Duke does the same thing, by the way.
1893000	1898000	We have explicit conversations about how good someone is and how likely they are to come.
1898000	1903000	And the fact is that if you applied to Duke, we'd look at your application calls.
1903000	1910000	Are you going to come here? Come on, let's kind of get into it, and then we'll name some other place.
1910000	1914000	No, yeah, I just, yeah, it was just a bit, because they sent it so early.
1914000	1918000	I wasn't expecting anything until late February, and then they sent it literally last week.
1918000	1920000	I was like, OK, well.
1920000	1924000	OK, well, again, I'm sorry to hear, Ricardo. I think you're a very high quality applicant.
1924000	1927000	I have no doubts that you're going to get in somewhere.
1927000	1928000	Yeah, I hope so.
1928000	1933000	Well, I mean, I told Ricardo something a little bit more realistic,
1933000	1938000	which is that there is no reason why he should be rejected from anywhere.
1938000	1944000	Sure, that's a good thing to say. My only worry for you, Ricardo, is you only apply to four places, so you are...
1944000	1949000	That doesn't mean I am not going to guarantee they'll get in somewhere,
1949000	1954000	because it can happen that the stochastics just work not for you.
1954000	1962000	Yeah, I forgot about this. Ricardo, you only apply to four places, so that is, you know, a worrying factor.
1962000	1966000	Is there a place that you want to go above everyone else?
1966000	1968000	Presumably MIT.
1968000	1974000	There is nowhere that I'm like, sir, do I want to go? But if I had to pick now, there is one that I'm going to go.
1974000	1976000	Which one?
1976000	1977000	Johns Hopkins.
1977000	1978000	Which one?
1978000	1979000	Johns Hopkins.
1979000	1981000	Write to somebody at Hopkins.
1981000	1986000	Emily Reel is actually going to be at Duke in like a month, maybe a month and a half or something like that.
1986000	1988000	No, she's coming on the 30th.
1988000	1996000	But write to somebody at Hopkins and say, look, if I had to pick today, Hopkins would be my first choice.
1996000	1998000	Let me tell you, they don't know that.
1998000	1999000	Okay.
1999000	2001000	All right, I'll write that.
2001000	2006000	Write an email, and you have to do it today, because these decisions are being made now.
2006000	2015000	And if you tell someone at Hopkins that if you were going to make a decision today that you would choose them over all the other places you apply, you should feel free to tell them what those places are.
2015000	2021000	You could tell them that you applied, but you could say, I applied to these other places, Berkeley and Harvard.
2021000	2023000	I don't know where you apply.
2023000	2027000	But then say, but if I had to choose today, I would choose Hopkins.
2027000	2031000	Then that will seriously raise the chance of you being admitted there.
2031000	2032000	It really does. It really does.
2032000	2038000	From everyone I've heard, everyone I've heard said that you have to play the game.
2038000	2041000	Yeah, you can't do that to every place that you apply.
2041000	2052000	But if there's one that you're willing to do it for, then it raises your chance at that place by a lot, because then they don't have to roll the dice anymore.
2052000	2056000	Okay, I will do that.
2056000	2060000	Pick a person that's sort of up your alley that you'd like to work with.
2060000	2065000	You could write them an email. It should be an email that indicates that you know who they are.
2065000	2071000	Yeah, I think it's an email because I've looked at some of her work before, like I read her book.
2071000	2075000	Actually, she based it on the reason I'm interested in Category Theory from one of her videos.
2075000	2080000	That's right. And you could say that. You could say, I know that you're coming to Duke in late April.
2080000	2081000	I'm talking late March.
2081000	2087000	But this means that I have to send this message now because it pertains to my application to Johns Hopkins.
2087000	2094000	And then say the thing about, you know, if today I had to choose one of all the places I apply, it would be Hopkins.
2094000	2099000	I don't even know what my disposition is. I don't know whether my application has been accepted to other places.
2099000	2105000	But if I could pick one place to be accepted, it would be Hopkins.
2105000	2109000	Are you fine with me emailing it to you first so you can proofread it?
2109000	2113000	Yes. Yes, you can email it to me first. Please do.
2113000	2118000	I will be as quick as I can. My schedule is off. So if you email it to me at 9 p.m.
2118000	2121000	I might not see it till, you know, four in the morning. Yeah.
2124000	2127000	Yeah, I'm jet lagged. I'm getting up really, really early.
2127000	2133000	Oh, yeah. You also have the jet lag to do it. But even when you are jet lagged, you also have.
2133000	2140000	Jet lag is perfect. Yeah, my schedule is terrible. But when I'm jet lagged, it's much better.
2141000	2148000	No, there's no question. My family likes to send me away for a week to Europe so I can come back and get up in the morning.
2150000	2157000	I remember during like 501, like one of the, I think, it was right before I think the second midterm.
2157000	2163000	I was working with other people in the homework. I was like, you know, sometimes I'm like, okay, we're not going to get this finished in time.
2163000	2166000	Let's send Azure an email to get like a couple hours extension.
2166000	2171000	And then immediately, like, it's like 1 a.m. We resented it like five minutes later and everything was fine.
2171000	2174000	That was great. Right.
2176000	2181000	Yeah, 1 a.m. was early. When my schedule was like that, 1 a.m. was early. I'm like, what time is it? It's like 4.
2183000	2189000	Yeah, I always try to like, sometimes it happens. I was like, okay, now that you got my schedule, I can order it.
2190000	2197000	Yes. Well, I do that by going, yeah. Actually, that's a good point I have to, I might enlist somebody's help.
2197000	2211000	I need to, I need to schedule for, for Math 403, I need to schedule a whole bunch of oral exams.
2211000	2215000	Oh, right. That's what I was talking about.
2215000	2219000	Does anybody, do you, Ben knows, I'll ask him to do it.
2219000	2225000	Oh, the oral exams. You're doing oral exams for 403. Oh, that's amazing. See, a little hard, a little hard for me.
2231000	2233000	I've done oral exams before.
2236000	2237000	Yeah.
2245000	2253000	Do 21 lends itself very well to in-class exams?
2253000	2256000	It does, because it's very, there are a lot of computational questions you can ask.
2264000	2265000	Okay.
2266000	2276000	This, this, yeah, this is what I'm doing, I'm doing this one because I cannot, there's just no point in grading written solutions to a, to a week-long take-home interview.
2277000	2278000	Sure.
2279000	2280000	Yeah, not with AI.
2281000	2286000	No, yeah, that's what I discovered in the class that, that you were in, right?
2287000	2289000	Ricardo wasn't the one that you were in?
2290000	2292000	In 403 last, last time?
2292000	2297000	There was one that had some, some AI issues, I think, and the answers were wrong.
2297000	2303000	Did I stand up in front of the class? Did I stand up in front of your class and say I know that a bunch of you used AI?
2304000	2309000	Uh, I think so, I'm not entirely sure. I think, yeah, I think a lot, yeah.
2309000	2311000	You were, you weren't one of those, so.
2311000	2312000	Yeah, I was not.
2312000	2313000	You don't remember that so well.
2313000	2314000	I do not.
2314000	2315000	But like, half the class was.
2315000	2326000	I've tried using, I don't know if I don't know how to prompt engineer, I've tried like everyone, so I've been like, okay, this is a homework I did, let's see how the AI fixed that, but it's just, I can't, I can't get it to do anything then, so I just.
2327000	2331000	I mean, I graded, there was, I can't tell you this.
2332000	2339000	I know what happens when AI, when AI does the entire, the entirety of midterm one, it got a 46 out of 100.
2341000	2342000	Okay.
2342000	2343000	All right.
2343000	2350000	Yeah, I think Dan has also been trying to like see how AI does when he's grading the homework, just to like.
2350000	2351000	Yeah, okay.
2351000	2358000	I'll ask him for help with scheduling, just, I've never used one of these, you know, sort of.
2359000	2361000	When to meets or whatever they're called.
2361000	2366000	Sign up genius or when to meets, I don't know, I haven't used these, I've never used one before.
2366000	2377000	Honestly, I've seen professors literally just post like a Google forms thing or whatever, have people like fill out when they're available and then just try to figure it out from there.
2377000	2379000	If it's not a big class, that's totally fine.
2379000	2382000	No, I can't do it that way, that's going to be too much work for me.
2382000	2390000	I want to just say the exams will all be on Monday from like, you know, noon until 4 p.m. and sign up in the slots.
2391000	2393000	Oh, sure, yeah, if you.
2394000	2395000	I don't have to do any work.
2395000	2401000	It's just that, you know, if somebody can't make it during those times, then I have to figure things out.
2401000	2409000	But assuming that each person can make it during that time at some point, then they have to figure out amongst themselves how they can manage to sign up.
2410000	2411000	Sure.
2411000	2421000	All right, I think that's I think that's about it.
2421000	2424000	We have only a couple of minutes left before we have the meeting.
2424000	2426000	Well, I have something to say.
2427000	2428000	Yes.
2428000	2443000	So I have an issue, which is I have learned a lot of my math writing more recently in sort of like in conjunction with how it was, how especially chat GPT does its own math writing.
2443000	2447000	So I asked you about that at our first meeting.
2448000	2449000	So.
2458000	2460000	Yeah, I wanted to mention this actually.
2460000	2462000	AI helped me with the skeleton.
2462000	2469000	And I quite like the way it does lists sometimes, but it often lists too many lists.
2470000	2471000	And there are.
2472000	2477000	But the outline was very AI driven in that sense.
2477000	2479000	I'm not a fraud.
2479000	2489000	If that's running through your mind, it's obvious that I couldn't possibly have written some of these things because it's like it involves knowledge that I simply doesn't have.
2489000	2490000	Yeah.
2491000	2497000	But and I'm saying this more broadly even maybe because I'm an ESL speaker.
2497000	2503000	I have this tendency to sort of like imitate the person I'm talking to.
2503000	2505000	So if I'm talking to.
2505000	2506000	Right.
2506000	2507000	I have that as well.
2507000	2509000	I don't know if it's just ESL, but at least.
2509000	2523000	But as I've used as I've like used chat GPT to learn things in the past, I've also sort of internalized some of its some of its wording choices a bit more like workflow pipeline.
2524000	2534000	It's very it's very deployment heavy and it's also very it's very it's very like business jargon.
2534000	2536000	Let's synthesize our.
2536000	2538000	I was going to use the word jargon.
2538000	2539000	It's very jargon.
2539000	2545000	And I don't like that much for that, but sometimes the jargon comes up with is just so good.
2545000	2550000	Sometimes it is, but sometimes it's it's it's it's identifiable.
2550000	2555000	So like, you know, one of the things that chat GPT does, if you ask it to answer a question.
2555000	2561000	I just remember the exam question I asked about cross audience except it was block matrices.
2561000	2562000	Right.
2562000	2563000	Yes.
2563000	2564000	Yes.
2564000	2566000	The answer is like two step flags.
2566000	2569000	You look at you look at those two subspaces in another.
2569000	2570000	Yeah.
2570000	2573000	And you get a block matrices and these kinds of things.
2573000	2574000	Yeah.
2574000	2577000	There's a there's a there's a generally theoretic way to do that.
2577000	2580000	It involves ladies subgroups, subgroups, subgroups, things like that.
2580000	2583000	The problem is that chat GPT knows everything.
2583000	2584000	Yeah.
2584000	2585000	Right.
2585000	2594000	And so when it gives you describe the answer this way, you unfettered uses all the mathematical terminology that it exists.
2594000	2599000	And it thinks that it's cool to use the right jargon for this.
2599000	2603000	The problem is that people in Math 403 don't know this jargon yet.
2603000	2608000	When they use AI to answer this question, it's obvious because they're using terms that they don't know how to define.
2608000	2609000	Yeah. Yeah.
2609000	2610000	Yeah. No, that makes sense.
2610000	2617000	Um, like, you know, like it's, you know, what's a parabolic subgroup?
2617000	2618000	Yeah.
2618000	2624000	They might have heard the expression once, but they wouldn't be able to to to deploy it.
2624000	2626000	I don't think it probably heard it.
2626000	2628000	They shouldn't have heard it at all.
2628000	2629000	That's the point.
2629000	2631000	It's not in any of the books that we use.
2631000	2633000	It's not in any of our sources.
2633000	2637000	The only way to know that is to either take a course before to have gotten it from somewhere else.
2637000	2638000	Yeah.
2638000	2639000	No, no.
2639000	2640000	All of that makes sense.
2640000	2642000	Before, they've learned it in their own time.
2642000	2643000	Whatever.
2643000	2645000	Then they'll be able to answer your question during the.
2645000	2646000	That's my point.
2646000	2647000	Yes.
2647000	2648000	If they know what a parabolic subgroup is.
2648000	2651000	That'll be just the phone conversation you guys are going to have for like five minutes.
2651000	2652000	Right.
2652000	2659000	If they actually do know what a parabolic subgroup is, then it's like, OK, I guess for the purpose of this, you learn what a parabolic subgroup is.
2659000	2664000	I guess I'm OK with that, I suppose.
2664000	2667000	And then you're going to have like a brief conversation with them about it.
2667000	2668000	It's going to be fun.
2668000	2669000	And then you move on to.
2669000	2670000	Yes.
2670000	2671000	Yeah.
2671000	2678000	But I guess the the problem with me is that this is the the first larger math document that I've written in a bit.
2678000	2682000	And I'm like, oh, my God, I'm starting to I'm starting to sound like AI.
2682000	2689000	And then I and then I there are certain things were like, AI, this paragraph, how could I make it better?
2689000	2690000	And then I'm like, oh, no.
2690000	2693000	And it's all merging into each other.
2693000	2694000	So I think I need to like.
2694000	2700000	Well, I've drawn Eric when we meet, when we meet for, you know, for what we're meeting tomorrow.
2700000	2701000	Right.
2701000	2702000	Yeah.
2702000	2703000	We're meeting tomorrow.
2703000	2709000	And we can talk about, you know, which parts feel more like AI, which parts feel more genuine.
2709000	2710000	Yeah.
2710000	2711000	And I can tell.
2711000	2712000	Oh, I can tell, too.
2712000	2716000	My voice, my voice is disappearing.
2716000	2717000	Yeah.
2717000	2727000	Which is, which is, which is a little bit sad, but also a little bit good because the voice that I used to see was a little sort of.
2727000	2728000	To floor.
2728000	2729000	Yeah, I was.
2729000	2731000	I've always been a very verbose writer.
2731000	2732000	I've always been a very verbose writer.
2732000	2737000	A little bit more concise, which is good, but it's also got a little bit more.
2737000	2740000	For lack of a better word, impersonal.
2740000	2741000	Yeah, exactly.
2741000	2742000	I agree.
2742000	2743000	I agree with that.
2743000	2744000	I agree with that.
2744000	2745000	Yeah.
2745000	2746000	Yeah.
2746000	2749000	So there are parts where I'm reading and going, yeah, I can really tell that Eric wrote this.
2749000	2750000	This is, this is what I want to see.
2750000	2752000	There are parts where it's just like.
2752000	2757000	Really, I could have written that sentence or even that paragraph or something like that.
2757000	2758000	Yeah.
2758000	2759000	My keyboard's on my lap.
2759000	2760000	No, no, but I understand.
2760000	2762000	And I fully agree with you.
2762000	2763000	I fully agree with you.
2763000	2769000	Writing this has been an interesting introspective moment because I'm like, where am I?
2769000	2770000	What is this?
2770000	2777000	And, and how, how much have I come to rely on AI to, to, to build my skeleton for me and everything else?
2777000	2780000	So this is, this was, yeah, this was an experience.
2780000	2785000	I am, I am interested in talking more about it tomorrow.
2786000	2789000	Do you have something to say before we go?
2789000	2790000	Yeah.
2790000	2793000	I was just going to say one thing that bothers me about AI is that now whenever I'm writing
2793000	2795000	something like, oh, it's an M dash.
2795000	2797000	I was like, wait, is this going to look too much like AI?
2797000	2798000	Yes.
2798000	2801000	I also start double, double guessing myself with those things.
2801000	2806000	I have totally heard, I've heard horror stories about those kinds of things about students
2806000	2809000	who learn how to write and they actually know how to write.
2809000	2814000	And then a teacher will look at their writing and says, oh, but you, this AI does that.
2814000	2815000	It's a horror story.
2815000	2816000	Yeah.
2816000	2817000	That's correct.
2817000	2819000	Like, I mean, would you want me to not use that?
2819000	2820000	That's how it works.
2820000	2821000	Yeah.
2821000	2824000	ABDAC is like super useful, like punctuation stuff.
2824000	2825000	Yeah.
2825000	2826000	They're super useful punctuation.
2826000	2830000	I use them, you know, preferably, certainly no more than once a paragraph.
2830000	2832000	Perfectly no more than once a page.
2832000	2833000	Yeah.
2833000	2836000	If you're using too many M dashes, it means that you haven't organized your thoughts properly.
2836000	2837000	Yeah.
2837000	2838000	Too many asides.
2838000	2840000	Or for doing asides.
2840000	2841000	Yes.
2841000	2842000	But.
2842000	2846000	Yeah, I was going to say at the time now, it's too fast forward, so you need to.
2846000	2847000	Yes.
2847000	2850000	I was going to go back and over to the other one.
2850000	2851000	Okay.
2851000	2852000	Lovely meeting.
2852000	2854000	I look forward to seeing more of your progress, Ricardo.
2854000	2859000	And also trying to figure out how I might be able to help, if at all, with my work.
2859000	2861000	But I think, well, we'll see.
2861000	2863000	And by the same token.
2863000	2865000	Visualization, that's going to be really helpful.
2865000	2866000	Yeah.
2866000	2872000	By the same token, you know, Ricardo, you might be able to help Eric do visualization stuff.
2872000	2873000	Yeah.
2873000	2874000	Exactly.
2874000	2876000	I might need some suggestions.
2876000	2878000	Because right now I don't have any visualization implemented yet.
2878000	2882000	If you need any input from my side, do you like the stuff I'm doing?
2882000	2885000	Or do you need like, as a user, what I'd be interested in?
2885000	2886000	Yes.
2886000	2887000	The user experience.
2887000	2888000	That's what I need.
2888000	2889000	Okay.
2889000	2890000	All right.
2890000	2891000	Talk to you guys later.
2891000	2892000	Ricardo, am I correct?
2892000	2894000	I cannot meet that.
2894000	2896000	What's your Tuesday afternoon look like?
2896000	2898000	Very busy.
2898000	2902000	I can't meet until like 4.30.
2902000	2903000	Yeah, okay.
2903000	2905000	So there's no chance that you're going to join with Eric.
2905000	2911000	So as far as I'm concerned, I'm happy to have both of you during this time slot at the top.
2911000	2912000	I cannot.
2912000	2915000	I have a class at 3.05.
2915000	2920000	Today, because of the stuff, the class is not happening.
2920000	2922000	Ah, right.
2922000	2923000	Good point.
2923000	2924000	Okay.
2924000	2925000	What about this half of that?
2925000	2930000	If necessary, I can show up like every once in a while during Eric's meeting.
2930000	2932000	When's your meeting on Tuesday?
2932000	2936000	It's Tuesdays at, what is it, 3?
2936000	2937000	2.50?
2937000	2939000	2.50 to 3.50, yeah.
2939000	2942000	Yeah, so I can occasionally show up to that.
2942000	2945000	I will need to miss complex analysis, but I'm not enrolled in that.
2945000	2947000	So it's fine if I miss it every once in a while.
2947000	2949000	Okay.
2949000	2952000	So just keep that in mind that this has been very productive.
2952000	2957000	I think that you two are working on separate things, but they complement each other extremely well.
2957000	2958000	They do.
2958000	2962000	I think that your skill sets complement your projects very well.
2962000	2965000	So Eric, when yours might be missing, Ricardo's really good at doing.
2965000	2966000	Yes, yes.
2966000	2971000	The visualization stuff, I'm particularly keen on picking apart Ricardo's brain eventually.
2971000	2974000	Right, right.
2974000	2980000	And the alignment project, you have software that can be useful for exploring that.
2980000	2983000	And for directing what we might actually want to prove.
2983000	2987000	So we can also think of just having meetings at some completely other time.
2987000	2989000	But I'm going to head over to the other meeting to have them.
2989000	2990000	Okay.
2990000	2991000	All right.
2991000	2992000	Bye.
2992000	2993000	Bye.
2993000	2994000	Bye, guys.
3004000	3005000	Thank you.
